Mã Sản Phẩm,Tên sản phẩm,Bán chạy,Danh mục,Thể Loại,Đơn vị,Kích thước,Chieu_Dai_Max (mm),Chieu_Rong_Max (mm),Chieu_Cao_Max (mm),Kich_Thuoc_Hop_Tho (mm),Khối lượng (m3),Trọng lượng (tấn),Đá xanh đen,Đá xanh rêu,Đá xám BĐ,Đá GRN đen Ấn Độ,Ghi chú,Đá xanh Bình Định,Đá trắng Yên Bái,Có ảnh
LD18,Long đình,Bán chạy,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 6770mm - Hộp thờ: 1300mm - Chiều cao tổng: 3000mm,6770,,3000,1300,3.376,10.128,158871000,208518000,230425000,477834000,Long Đình 1 mái 4 cành,251860000,178729000,TRUE
LD19,Long đình,Bán chạy,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 5000mm - Hộp thờ: 850mm - Chiều cao tổng: 3130mm,5000,,3130,850,2.72,8.160,128000000,168000000,185651000,384985000,,202921000,144000000,TRUE
LD22,Long đình,,An Tâm,Long đình,bộ,- Chiều dài tổng: 5530mm - Hộp thờ: 890mm - Chiều cao tổng: 3460mm,5530,,3460,890,2.67,8.010,113920000,149520000,168838000,361235000,Long Đình 3 mái 4 cánh,184544000,128160000,TRUE
LD23,Long đình,,An Tâm,Long đình,bộ,- Chiều dài tổng: 5530mm - Hộp thờ: 890mm - Chiều cao tổng: 3460mm,5530,,3460,890,2.619,7.857,111744000,146664000,165613000,354335000,Long Đình 3 mái 4 cánh,181019000,125712000,TRUE
LD24,Long đình,,An Tâm,Long đình,bộ,- Chiều dài tổng: 1470mm - Hộp thờ: 770mm - Chiều cao tổng: 3400mm,1470,,3400,770,1.868,5.604,79701000,104608000,118124000,252729000,,129112000,89664000,TRUE
LD25,Long đình,,An Tâm,Long đình,bộ,KT: 3200mm,3200,,,,2.2,6.600,93867000,123200000,139118000,297647000,,152059000,105600000,TRUE
LD26,Long đình,,Trường Tồn,Long đình,bộ,,,,,,2.9,8.700,136471000,179118000,197937000,410462000,,216349000,153529000,TRUE
LD27,Long đình,,Trường Tồn,Long đình,bộ,,,,,,2.083,6.249,98024000,128656000,142173000,294825000,,155398000,110276000,TRUE
LT01,Lầu thờ,,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 4600mm - Hộp thờ: 1580mm - Chiều cao tổng: 3700mm,4600,,3700,1580,3.904,11.712,183718000,241129000,266463000,552566000,Lầu thờ 2 mái 2 cánh,291251000,206682000,TRUE
LT02,Lầu thờ,,Trường Tồn,Long đình,bộ,- Chiều dài tổng: 8290mm - Hộp thờ: 1580mm - Chiều cao tổng: 3360mm,8290,,3360,1580,5.323,15.969,250494000,328774000,363316000,753409000,Lầu thờ 2 mái 4 cánh,397113000,281806000,TRUE
M01,Mộ 2 cấp - KT: 1270x790x760mm,Bán chạy,An Tâm,Mộ,ngôi,KT: D1270xR790xC760mm,1270,790,760,,0.251,0.753,10709000,14056000,15872000,33959000,"Đế ghép từ 4 khối 
Nắp mộ liền khối. bia liền khối",17349000,12048000,TRUE
M02,Mộ 3 cấp - KT: 1070x690x750mm,,An Tâm,Mộ,ngôi,KT: D1070xR690xC750mm,1070,690,750,,0.247,0.741,10539000,13832000,15619000,33418000,"Đế 1, đế 2 liền khối.
Nắp mộ liền khối",17072000,11856000,TRUE
M04,Mộ 2 cấp - KT: 870x470x305mm,,An Tâm,Mộ,ngôi,KT: D870xR470xC305mm,870,470,305,,0.077,0.231,3285000,4312000,4869000,10418000,"Đế mộ liền khối
 Nắp mộ liền khối",5322000,3696000,TRUE
M06,Mộ 2 cấp - KT: 1270x890x690mm,,Trường Tồn,Mộ,ngôi,KT: D1270xR890xC690mm,1270,890,690,,0.264,0.792,12424000,16306000,18019000,37366000,"Đế ghép từ 4 khối 
Nắp mộ liền khối.",19695000,13976000,TRUE
M08,Mộ 3 cấp - KT: 1470x970x1050mm,Bán chạy,Trường Tồn,Mộ,ngôi,KT: D1470xR970xC1050mm,1470,970,1050,,0.688,2.064,32376000,42494000,46959000,97378000,liền khối các thớt,51327000,36424000,TRUE
M10,Mộ 3 cấp - KT: 1270x790x710mm,Bán chạy,Trường Tồn,Mộ,ngôi,KT: D1270xR790xC710mm,1270,790,710,,0.259,0.777,12188000,15997000,17678000,36658000,"Đế 1-Đế 2 ghép từ 4 khối, Nắp mộ liền khối.",19322000,13712000,TRUE
M12,Mộ 3 cấp - KT: 1270x810x870mm,,Trường Tồn,Mộ,ngôi,KT: D1270xR810xC870mm,1270,810,870,,0.345,1.035,16235000,21309000,23548000,48831000,"Đế 1-Đế 2 ghép từ 4 khối, Nắp mộ liền khối.",25738000,18265000,TRUE
M15,Mộ 3 cấp - KT: 2370x1170x1330mm,,Trường Tồn,Mộ,ngôi,KT: D2370xR1170xC1330mm,2370,1170,1330,,0.92,2.760,43294000,56824000,62794000,130215000,"Đế 1  ghép từ 4 khối -Đế 2 ghép từ 3 khối, Nắp mộ liền khối.",68635000,48706000,TRUE
M16,Mộ 3 cấp - KT: 1270x810x930mm,,Trường Tồn,Mộ,ngôi,KT: D1270xR810xC930mm,1270,810,930,,0.296,0.888,13929000,18282000,20203000,41895000,"Đế 1  ghép từ 4 khối -Đế 2 ghép từ 3 khối, Nắp mộ liền khối.",22083000,15671000,TRUE
M18,Mộ 3 cấp - KT: 1710x1460x1130mm,Bán chạy,Trường Tồn,Mộ,ngôi,KT: D1710xR1460xC1130mm,1710,1460,1130,,1.326,3.978,62400000,81900000,90505000,187680000,"phần thân mộ liền 1 khối. bia ghép
với tay ngai và cột. mộ đá granite đen
ấn độ",98924000,70200000,TRUE
M19,Mộ 3 cấp - KT: 1270x810x890mm,,Trường Tồn,Mộ,ngôi,KT: D1270xR810xC890mm,1270,810,890,,0.273,0.819,12847000,16862000,18633000,38640000,"Đế 1  ghép từ 4 khối -Đế 2 ghép từ 4 khối, Nắp mộ liền khối.",20367000,14453000,TRUE
M20,Mộ 3 cấp - KT: 1470x970x1370mm,Bán chạy,Trường Tồn,Mộ,ngôi,KT: D1470xR970xC1370mm,1470,970,1370,,0.735,2.205,34588000,45397000,50167000,104031000,liền khối các thớt,54833000,38912000,TRUE
M21,Mộ 2 cấp - KT: 1450x870x790mm,,Trường Tồn,Mộ,ngôi,KT: D1450xR870xC970mm,1450,870,970,,0.311,0.933,14635000,19209000,21227000,44018000,"Đế mộ ghép 4 khối
 Nắp mộ liền khối",23202000,16465000,TRUE
M25,Mộ 3 cấp - KT: 1270x810x950mm,,An Tâm,Mộ,ngôi,KT: D1270xR810xC950mm,1270,810,950,,0.294,0.882,12544000,16464000,18591000,39776000,"Đế 1 và đế 2 ghép từ 4 khối.
Nắp mộ liền khối",20321000,14112000,TRUE
